city,2023,2024
平顶山市,-5644.190762496347,-7368.510874922684
新乡市,-3730.4089247006336,-5196.814263419006
淮北市,-606.0530277856045,-702.497414396499
郑州市,42407.032508570686,44575.05757960462
宿州市,399.22127816291186,381.91454301341423
焦作市,-3635.9165097458754,-4918.598724146859
运城市,-791.4373117791281,-1106.3297557959386
三门峡市,-1029.738863144011,-1312.025647792385
濮阳市,-2774.6861032739416,-3722.139733387309
开封市,9169.823460878388,10074.175607798403
洛阳市,8521.701380707058,7247.978305893566
晋城市,502.95799492996713,649.2247866957046
漯河市,-559.801153556799,-1463.4725316900967
许昌市,-682.9847275285513,3379.7055429890233
安阳市,-7460.219333525859,-7891.165663842588
菏泽市,-1656.42606157063,-2530.067390732152
鹤壁市,2117.031408229869,2847.0893574878623
周口市,-9914.830411742465,-10051.948536666918
南阳市,-5334.758242247785,-7145.985336211735
济源市,-1301.2296368112525,-1098.628580518405
商丘市,-5418.281701544369,-4037.756383992567
聊城市,866.6064491870628,876.1428938102748
阜阳市,3422.625300666788,4777.99196525831
信阳市,1525.6715375407382,4346.63099070499
邯郸市,-2344.135071856706,-2853.7436155585165
邢台市,-1067.0683212929428,-1612.34741025851
驻马店市,-8225.318116520693,-8863.789082500523
长治市,-340.76948012260857,-558.2338905047751
蚌埠市,1256.507180489516,1437.7949998155996
亳州市,-1384.598933437057,-1612.442977503789
