city,2023,2024
自贡市,4497.722925908784,3731.2436858517926
雅安市,2371.277829936522,1233.678736443166
眉山市,4683.7027551281635,3953.5509854246934
德阳市,1069.9426531833165,1012.9068262023391
南充市,-7553.678275017709,-7656.535229199214
泸州市,-3709.7935519967095,-3637.83671116213
重庆市,28189.50722611347,29615.853788438035
宜宾市,-4551.806512510526,-4034.2199148809423
内江市,-3469.5283345163184,-4155.155880680534
广安市,-5665.967508184001,-6058.503525874628
遂宁市,-2488.2424110473426,-2719.2275814729846
达州市,-9358.970435073346,-9742.846848491605
资阳市,-1673.0621982449325,-2294.268021274248
绵阳市,-2101.256037412542,-1938.0681684898823
成都市,-4176.084715029832,-710.9753541757964
乐山市,4648.644864908724,4723.2928998787265
