city,2023,2024
衡阳市,4586.13250647025,6211.6176021339825
黄石市,-2266.738531655501,-1980.5780251423039
益阳市,-4382.173602395465,-3553.7374472594765
娄底市,-5159.394835009447,-5332.906863482223
抚州市,-2745.5787877157813,-3137.408654273349
武汉市,22204.494527947427,21775.45316762697
鄂州市,-1365.8140498011635,-2161.522880060824
长沙市,21356.016410928103,16792.41928284087
株洲市,2314.4904336937507,2818.482479579109
萍乡市,-1944.4856123511831,-2149.4858598246237
南昌市,14326.22586996172,19090.09697307604
襄阳市,-2872.4529909186,-3269.3890316624743
九江市,1660.9821241789834,2372.4642084579054
常德市,-5140.719089518853,-4918.859676889179
宜昌市,-965.9654662172627,-1274.6230797778667
吉安市,534.0975497548375,57.70598579758321
黄冈市,-6420.423532195144,-5645.3710890659495
景德镇市,-89.92884003024982,127.36451193076176
上饶市,-1939.9678516802428,-3180.2238291963845
孝感市,-3750.53566347948,-3481.573377782175
潜江市,-1094.8148876786956,-790.3761893496754
岳阳市,-4275.192413326325,-2815.7951912801063
咸宁市,-2105.849834591164,-2681.4059331262697
仙桃市,-1163.2592154245679,-914.9640963423085
天门市,-1758.47519504292,-1540.6842755840073
新余市,-537.4956929139767,-599.3306876448006
宜春市,-5380.0534853253175,-7615.048509979709
鹰潭市,-176.56703578449532,-193.10688303681954
湘潭市,1881.7563505352718,1302.6892767266127
荆州市,-5222.30594954778,-5245.235994196147
