city,2023,2024
沧州市,-3518.3849717719436,-5021.8216497217345
廊坊市,-12649.058647777581,-15382.0842615462
张家口市,-3196.4356786001604,-2744.732606067396
秦皇岛市,-103.71496383352593,4.38518847644815
天津市,11259.415497714923,12251.019843931852
安阳市,-426.2844629094907,-175.31370091750068
邯郸市,-5105.10346796233,-4847.523619177216
邢台市,-5627.715805732183,-6799.4228968627285
唐山市,-5583.151009701802,-1691.0847040170331
石家庄市,11317.160203456026,16316.902313663793
北京市,28604.634683980283,26324.65149757936
衡水市,-2028.2859754809715,-3900.2548015382145
承德市,-2274.6179294215267,-2199.9927379671963
保定市,-6555.416131504284,-8307.584179109894
