city,2023,2024
上海市,-9327.604915232283,-602.2304087733978
盐城市,-2346.305666707354,-2893.0149607562803
常州市,-1154.7875620627692,-1550.2895161425665
宁波市,-6431.284093751078,-8860.408205809537
芜湖市,-561.9188921529462,-581.5294169147651
扬州市,1538.8878867136102,1484.252368198222
南通市,-3608.9491180801297,-4985.053231291949
合肥市,3772.1236532721455,5037.02017480002
宣城市,-1335.3866837908495,596.9890273236527
铜陵市,-1005.9740578144521,-872.3553637551378
嘉兴市,-1905.2456412382696,-4271.577815972534
镇江市,-1238.4841391501734,-1304.4622214395908
绍兴市,-653.8194158735007,518.214624836072
无锡市,-891.0569317367759,-1547.832486209679
湖州市,5908.592810359223,3329.3422544657133
杭州市,18052.2405307573,18779.55407941269
苏州市,-6641.492768074571,-9991.393481518515
马鞍山市,-2106.0104138435117,-2746.7798432077916
池州市,2410.580327485837,1440.1530280288882
舟山市,279.68152731041414,-535.5996452916601
南京市,18011.175601627834,19635.80973824333
滁州市,2536.342297734105,2507.835362197919
安庆市,-3321.744227043586,508.7327443572749
金华市,-1983.6197791431127,-1984.3192579479635
台州市,-3170.1668112939446,-4929.312671579097
泰州市,-2565.6430505903777,-3151.1356254299776
