city,2020,2021,2022
长春市,1313.3481353824973,3002.7646514334883,-1346.392491495792
哈尔滨市,9149.727571297204,10711.717358167938,-1007.1219364759554
吉林市,-562.3396856619095,-2006.9297475998467,769.6295022662916
齐齐哈尔市,-1629.307752510353,-2074.8430902643418,220.80129891435575
辽源市,-652.4435532018247,-723.6056371748205,125.89085035199273
四平市,-678.7096643850198,43.22463633255529,36.82350307253671
绥化市,11.734622224005577,1443.8678496667303,230.0638424365094
延边朝鲜族自治州,662.3219522942871,726.3747074167708,82.6527410317717
大庆市,-3242.0495532797013,-4712.509806885783,-44.782936982628144
牡丹江市,-1669.6223306139032,-1455.8777555836352,449.8557788800047
松原市,-1671.9960777681786,-3587.56048514695,142.70180989661262
