city,2020,2021,2022
珠海市,454.2062793119312,2195.466743453313,-10.33668482802932
江门市,2426.63703226712,2407.7405293450356,2768.8670945772883
广州市,4679.297256231364,3862.846457704958,11939.904368374713
深圳市,-11711.859311679451,-8493.053961457947,-10280.997091381556
东莞市,-7240.525744809849,-6128.078746129395,-5601.000414424743
惠州市,5127.161963165809,5724.354344382204,261.02135538113544
中山市,-3316.3426683555645,-1953.630457926165,-2733.2772974479085
肇庆市,13711.382133285253,2231.3791934814644,8110.790100525972
佛山市,-7607.982765440331,-2039.9115481513195,-8027.904484125018
