city,2020,2021,2022
济宁市,2605.0088154805544,-2328.8421325969093,-2752.320720213361
潍坊市,592.1206860112407,1892.5899373560014,1528.7387135104473
威海市,-706.4320341512461,57.857261791890664,367.9133213997693
青岛市,-7286.245143608807,2055.969215496342,1486.2138071669528
枣庄市,1029.9472053118748,262.60692949131214,-631.6373928750681
临沂市,1706.5991809308875,-1812.0965482773308,-1447.6144935655357
滨州市,-220.26267533826535,-1656.91442910002,-3282.14043170235
济南市,-4322.911030801004,8438.736370645729,13358.485117799515
菏泽市,3495.676311796865,-3707.262313861178,-3277.6056314114144
泰安市,1687.2360510750232,710.4581062682294,2003.8548274485709
日照市,750.158086481701,538.2516514696249,358.0545332225788
德州市,2034.8965835925583,-1478.403659056667,-1836.7676630672795
烟台市,-1618.3190007706344,760.636647198954,87.27893343546202
聊城市,1225.4196463711653,-1676.1669481486983,-2223.0662182601873
东营市,-1450.9493377747015,-720.355866610576,-1020.4790412578336
淄博市,-481.2545711601016,-447.99524693075773,-1598.1141212434645
